,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
130,0.469,0.132,-14.001,0.0807,0.0,0.0873,0.36,67.011,,,
131,0.712,0.862,-4.612,0.0378,0.0,0.093,0.809,95.051,,,
132,0.743,0.752,-4.813,0.0414,0.0,0.287,0.545,110.015,,,
133,0.742,0.713,-5.522,0.0303,0.0,0.059,0.879,120.032,,,
134,0.64,0.903,-3.042,0.185,0.0503,0.171,0.152,128.079,,,
135,0.528,0.945,-3.386,0.0928,0.505,0.115,0.308,139.987,,,
136,0.623,0.981,-3.36,0.0889,0.0306,0.844,0.571,140.009,,,
137,0.585,0.737,-5.577,0.0413,0.109,0.109,0.174,127.975,,,
138,0.627,0.902,-9.197,0.0543,0.787,0.409,0.0494,139.97,,,
139,0.596,0.688,-6.367,0.0345,0.0,0.121,0.817,172.837,,,
140,0.633,0.782,-4.739,0.0661,0.769,0.0702,0.233,140.04,,,
141,0.648,0.968,-6.157,0.0965,0.759,0.687,0.0906,140.016,,,
142,0.69,0.718,-4.743,0.135,0.000729,0.615,0.401,76.007,,,
143,0.808,0.97,-6.098,0.0506,6.13e-05,0.154,0.868,114.328,,,
144,0.802,0.682,-5.924,0.222,1.39e-05,0.109,0.586,123.95,,,
145,0.648,0.931,-3.15,0.181,0.0,0.752,0.744,153.649,,,
146,0.727,0.974,-2.261,0.0664,0.000532,0.174,0.965,79.526,,,
147,0.755,0.832,-2.741,0.116,1.27e-06,0.291,0.735,120.032,,,
148,0.725,0.64,-7.905,0.332,0.0,0.099,0.915,166.028,,,
149,0.872,0.872,-6.328,0.139,0.00112,0.0543,0.809,116.948,,,
150,0.762,0.661,-6.075,0.0687,0.0,0.256,0.769,130.009,,,
151,0.708,0.641,-4.296,0.0335,0.0,0.0945,0.253,113.082,,,
152,0.649,0.552,-5.419,0.0292,6.47e-06,0.111,0.158,89.969,,,
153,0.839,0.804,-2.513,0.0329,0.0,0.331,0.888,122.973,,,
154,0.607,0.934,-4.217,0.0314,0.0,0.0909,0.568,122.01,,,
155,0.706,0.842,-4.628,0.038,0.0,0.134,0.818,104.958,,,
156,0.671,0.939,-3.206,0.161,0.0,0.298,0.53,129.024,,,
157,0.584,0.7,-4.251,0.0506,2.43e-05,0.13,0.549,163.953,,,
158,0.638,0.656,-5.886,0.0357,0.0,0.146,0.225,104.036,,,
159,0.822,0.739,-4.541,0.0311,4.26e-05,0.181,0.745,118.992,,,
160,0.851,0.806,-4.62,0.0787,1.64e-06,0.121,0.787,118.999,,,
161,0.699,0.76,-3.173,0.0677,0.0,0.132,0.696,129.996,,,
162,0.435,0.837,-8.126,0.449,0.0,0.117,0.778,124.913,,,
163,0.736,0.929,-5.89,0.0674,1.11e-05,0.402,0.658,125.03,,,
164,0.751,0.736,-4.168,0.156,0.0,0.265,0.352,130.014,,,
165,0.867,0.857,-5.892,0.0663,0.00171,0.13,0.402,130.048,,,
166,0.66,0.867,-4.285,0.116,0.0,0.0368,0.377,93.033,,,
167,0.602,0.923,-3.763,0.044,0.0,0.0561,0.765,136.01,,,
168,0.61,0.893,-3.681,0.0921,4.41e-05,0.021,0.673,104.031,,,
169,0.459,0.891,-5.057,0.0623,0.0,0.106,0.588,154.837,,,
170,0.572,0.912,-4.875,0.0707,1.2e-06,0.102,0.606,156.073,,,
171,0.494,0.842,-4.784,0.0843,0.0,0.122,0.574,162.011,,,
172,0.21,0.94,-3.427,0.123,0.0,0.269,0.255,179.722,,,
173,0.825,0.856,-1.912,0.0476,1.4e-06,0.127,0.207,128.016,,,
174,0.771,0.621,-7.453,0.0376,0.0,0.124,0.154,101.007,,,
175,0.684,0.834,-4.524,0.0675,0.0,0.271,0.538,164.02,,,
176,0.781,0.526,-6.985,0.293,0.0,0.0457,0.662,94.992,,,
177,0.542,0.914,-4.747,0.113,0.0,0.744,0.576,153.993,,,
178,0.491,0.89,-5.897,0.43,0.0,0.11,0.434,88.514,,,
179,0.918,0.609,-5.64,0.0791,0.0,0.139,0.304,128.008,,,
180,0.818,0.799,-4.1,0.156,0.128,0.057,0.0815,100.014,,,
181,0.407,0.725,-5.346,0.188,2.46e-06,0.306,0.247,196.093,,,
182,0.699,0.839,-5.353,0.0481,0.655,0.0897,0.264,128.026,,,
183,0.485,0.928,-3.451,0.445,2.92e-05,0.217,0.348,160.165,,,
184,0.7,0.695,-4.973,0.0897,0.0,0.0319,0.633,122.028,,,
185,0.438,0.672,-4.706,0.0429,0.0,0.0583,0.457,185.934,,,
186,0.512,0.662,-6.797,0.0439,0.0,0.118,0.472,180.114,,,
187,0.657,0.827,-4.036,0.0734,0.00534,0.065,0.69,145.889,,,
188,0.746,0.873,-3.803,0.128,0.0,0.354,0.817,148.075,,,
189,0.748,0.741,-3.103,0.0531,0.0,0.147,0.537,128.077,,,
190,0.891,0.628,-7.863,0.0551,0.00019,0.0504,0.552,134.966,,,
191,0.813,0.453,-6.941,0.338,0.0,0.14,0.191,161.997,,,
192,0.713,0.526,-5.046,0.032,0.000148,0.124,0.131,131.05,,,
193,0.653,0.928,-3.937,0.0885,0.601,0.649,0.239,150.025,,,
194,0.583,0.695,-5.336,0.0423,0.0,0.0527,0.224,104.879,,,
195,0.686,0.969,-4.46,0.344,8.2e-06,0.337,0.789,155.003,,,
196,0.648,0.736,-7.948,0.0385,0.000137,0.171,0.378,103.027,,,
197,0.679,0.576,-6.609,0.0402,0.000113,0.366,0.348,154.09,,,
198,0.695,0.981,-3.137,0.173,0.00247,0.0584,0.27,128.018,,,
199,0.478,0.976,-1.252,0.168,0.00134,0.691,0.336,174.006,,,
200,0.725,0.918,-4.912,0.0676,0.0328,0.113,0.201,125.009,,,
201,0.794,0.896,-1.514,0.0677,0.615,0.0876,0.5,125.999,,,
202,0.806,0.945,-2.378,0.0482,0.811,0.0662,0.696,127.984,,,
203,0.813,0.569,-6.068,0.0468,0.0016,0.056,0.18,123.028,,,
204,0.619,0.869,-4.805,0.0773,1.93e-06,0.38,0.527,125.257,,,
205,0.763,0.875,-5.797,0.0262,5.41e-06,0.599,0.8,123.013,,,
206,0.706,0.74,-7.904,0.0325,0.512,0.135,0.444,122.007,,,
207,0.649,0.99,-1.888,0.112,0.328,0.0626,0.208,127.964,,,
208,0.659,0.911,-4.628,0.0844,0.00812,0.35,0.498,109.975,,,
209,0.658,0.891,-3.512,0.199,0.0332,0.34,0.3,125.033,,,
